iteration,sensing,upload,preprocessing,inference,postprocessing,download,download-bytes,download-logger-bytes,upload-bytes,upload-logger-bytes,upload-throughput,download-throughput
0,0.002994060516357422,9.778113842010498,0.010453462600708008,0.08045101165771484,0.010492563247680664,0.06542301177978516,668,602,5197,276,4251.9447688749215,81683.79679596507
1,0.0005812644958496094,0.031076431274414062,0.010448694229125977,0.08045387268066406,0.01007699966430664,0.0333406925201416,668,602,3335,276,858528.4379795004,160284.61306769832
2,0.0008368492126464844,0.035767316818237305,0.010445594787597656,0.08044815063476562,0.010448455810546875,0.0265350341796875,668,602,4480,276,1002032.1116658556,201394.12535940195
3,0.0009531974792480469,0.030698537826538086,0.010447978973388672,0.08045029640197754,0.010451793670654297,0.02220773696899414,668,602,4488,276,1169567.1045596814,240636.8558606918
4,0.0017268657684326172,0.036482810974121094,0.010452985763549805,0.08049702644348145,0.010454177856445312,0.028263568878173828,668,602,8497,276,1863233.621121422,189077.32505525282
5,0.0006768703460693359,0.028964519500732422,0.010488271713256836,0.08045434951782227,0.010464668273925781,0.022249460220336914,668,602,3548,276,979957.5649539864,240185.6021259952
6,0.000885009765625,0.039496421813964844,0.010452747344970703,0.08045458793640137,0.010452508926391602,0.0955808162689209,668,602,4576,276,926868.772377158,55910.80102271168
7,0.00027370452880859375,0.04279947280883789,0.010453224182128906,0.08045601844787598,0.010451078414916992,0.02420353889465332,668,602,1561,276,291779.2949407846,220794.15837741463
8,0.0011827945709228516,0.0360875129699707,0.010453224182128906,0.08045482635498047,0.010452747344970703,0.02096843719482422,668,602,7370,276,1633806.1325828147,254859.24155182607
9,0.0017130374908447266,0.048360586166381836,0.010449886322021484,0.08045220375061035,0.010448932647705078,0.17242765426635742,668,602,9012,276,1490800.788724062,30992.708349119348
10,0.0016601085662841797,0.04034113883972168,0.010450363159179688,0.0804743766784668,0.010448694229125977,0.032477617263793945,669,603,9982,277,1979517.7403710335,164790.41416521682
11,0.0007159709930419922,0.04871034622192383,0.010448455810546875,0.08047795295715332,0.010076761245727539,0.06562519073486328,669,603,5063,277,831527.6556537743,81554.04868266171
12,0.0013518333435058594,0.03129005432128906,0.010460376739501953,0.08045387268066406,0.010063886642456055,0.02416229248046875,669,603,9638,277,2464169.5795184397,221502.16103568044
13,0.0012810230255126953,0.04628276824951172,0.010448694229125977,0.08045005798339844,0.010450363159179688,0.02260279655456543,669,603,8482,277,1466118.0082009437,236784.85921331603
14,0.0015149116516113281,0.045212507247924805,0.010447502136230469,0.08044862747192383,0.010451316833496094,0.17572927474975586,669,603,8548,277,1512501.8310754872,30455.938588612626
15,0.0005099773406982422,0.04453253746032715,0.010446548461914062,0.08045125007629395,0.010454416275024414,0.02275538444519043,669,603,2554,277,458810.59479717107,235197.0810640906
16,0.00090789794921875,0.03727149963378906,0.010451078414916992,0.08046174049377441,0.010449647903442383,0.08316755294799805,669,603,6240,277,1339361.1872473261,64352.01963133905
17,0.0013730525970458984,0.04356741905212402,0.010450363159179688,0.08045482635498047,0.010445594787597656,0.022771358489990234,669,603,7833,277,1438322.52089638,235032.09096429692
18,0.0010428428649902344,0.041435956954956055,0.010448455810546875,0.08045387268066406,0.010447025299072266,0.023714065551757812,669,603,5225,277,1008785.6796800828,225688.84227459182
19,0.001435995101928711,0.041719675064086914,0.010445356369018555,0.08044981956481934,0.010452747344970703,0.17139196395874023,669,603,7936,277,1521775.9942395063,31226.66825434362
20,0.0011708736419677734,0.042383432388305664,0.010452508926391602,0.08044672012329102,0.01047205924987793,0.0205535888671875,669,603,7007,277,1322592.2687532697,260392.48106904232
21,0.0009980201721191406,0.06034111976623535,0.010073661804199219,0.08045339584350586,0.010447025299072266,0.06565451622009277,669,603,7123,277,944364.3111158526,81517.6214543804
22,0.0006549358367919922,0.05143165588378906,0.01046299934387207,0.08003497123718262,0.010448932647705078,0.021861553192138672,669,603,3494,277,543478.5157055443,244813.346652998
23,0.0005857944488525391,0.045336246490478516,0.010448694229125977,0.08045029640197754,0.010445356369018555,0.026728391647338867,669,603,2713,277,478733.94204697246,200236.51518638444
24,0.0014438629150390625,0.05633091926574707,0.010445356369018555,0.08045101165771484,0.010447502136230469,0.14505481719970703,669,603,8484,277,1204880.0354172573,36896.39615781619
25,0.00045418739318847656,0.039397239685058594,0.010451078414916992,0.08045125007629395,0.01046299934387207,0.026360750198364258,669,603,2286,277,464194.957468955,203029.12321258988
26,0.0009748935699462891,0.03264427185058594,0.010464191436767578,0.08045411109924316,0.010446786880493164,0.08617925643920898,669,603,6719,277,1646598.222378031,62103.1118291826
27,0.0006740093231201172,0.052321434020996094,0.010450124740600586,0.08045268058776855,0.01044774055480957,0.09127640724182129,669,603,3571,277,546009.4994440698,58635.086127138944
28,0.0012669563293457031,0.03746795654296875,0.01044607162475586,0.08050775527954102,0.01045989990234375,0.029883146286010742,669,603,9148,277,1953242.3636733862,179097.60735285905
