region number,avg_d_kbps,avg_u_kbps,avg_latency_ms
0,73974.72944174758,13059.200898058252,35.21109223300971
1,61730.02400485437,12003.506844660194,30.42014563106796
2,57986.24985436893,11198.892645631067,36.57621359223301
3,39568.01725728155,10696.054247572816,35.6570145631068
4,31405.991310679612,9072.428106796116,39.12895631067961
5,27620.858567961164,10379.990145631067,45.53589805825243
6,23160.20837378641,10891.056019417476,50.09606796116505
7,17377.937791262135,10054.483883495146,39.89155339805825
8,18418.621432038835,11139.058737864078,35.61507281553398
9,20496.96259708738,11224.348883495146,50.164563106796116
10,20346.046747572815,10427.344757281553,54.745606796116505
11,29295.096480582524,10112.946893203884,41.960558252427184
12,24953.788834951458,10176.564757281554,44.75519417475728
13,22696.64618932039,8903.128859223301,39.872936893203885
14,23530.51359223301,8639.543155339807,49.68410194174757
15,24094.904199029126,9433.887063106797,42.513325242718444
16,23788.08317961165,9852.429344660195,42.34220873786408
17,26258.848932038836,9905.457111650485,41.090582524271845
18,31809.1002184466,10459.141601941748,34.92434466019417
19,36230.89832524272,11945.949077669902,30.441868932038837
20,30770.800388349515,11054.945849514563,34.279004854368935
21,27820.624830097087,10393.403033980583,43.3279854368932
22,30454.843106796117,11108.770655339806,47.49
23,36029.914150485434,10266.969174757282,49.453179611650484
24,28221.67172330097,10018.02286407767,46.06245145631068
25,29244.995291262137,10771.253422330097,51.22466019417476
26,27866.73072815534,10693.324247572815,50.48830097087379
27,48697.4763592233,12463.134053398058,47.979660194174755
28,59142.61080097088,13535.944053398058,43.49723300970874
29,70537.67650485437,15335.586650485437,43.578058252427184
30,51083.093665048546,12590.134053398058,44.67140776699029
31,77946.00444174757,16187.423082524272,43.810582524271844
32,75178.04237864078,16409.000533980583,41.947087378640774
33,49293.153859223305,12283.996747572815,47.88650485436893
34,60917.16395631068,12573.798106796117,46.64468446601942
35,46249.037936893204,11245.098203883495,46.49992718446602
36,65420.65849514563,14869.605145631069,42.73334951456311
37,68247.73529126214,14177.471237864078,40.8575
38,77770.77652912622,15432.161286407767,38.94220873786408
39,97630.41247572815,16649.645,37.2503640776699
40,81613.3166262136,15006.150097087379,37.63089805825243
41,83000.2932038835,16951.78609223301,36.268106796116506
42,86919.15584951456,18258.00266990291,34.967014563106794
43,82191.80502427185,18158.832839805826,35.57485436893204
44,68392.41939320389,15120.54468446602,38.88509708737864
45,88852.50594660194,15439.71,36.53667475728155
46,86100.05975728156,15839.863009708737,36.79317961165049
47,90458.27968446602,16326.615412621359,36.480485436893204
48,83156.56225728155,17272.016820388348,39.78235436893204
49,103068.34405339806,19094.2386407767,40.61002427184466
50,85465.46708737864,15666.340849514563,41.049563106796114
51,77528.6008737864,14960.751067961164,39.100679611650484
52,82933.96609223301,16238.386844660194,39.96497572815534
53,79212.93987864078,17356.608373786406,41.587087378640774
54,80582.42788834951,15644.030800970873,44.100800970873784
55,89557.92740291262,16419.325436893203,40.95349514563107
56,83028.65029126214,15852.995825242719,40.64915048543689
57,107736.64242718446,17258.627111650487,38.71718446601942
58,94658.81924757281,16365.414077669902,41.347985436893204
59,109603.00063106796,17981.19281553398,37.25771844660194
60,87585.22194174757,15895.293932038834,36.63507281553398
61,81450.67861650485,15758.677257281553,37.40016990291262
62,74398.5227184466,15239.793834951457,38.06247572815534
63,78366.52597087379,14190.299150485436,39.515800970873784
64,91903.38900485437,15366.836917475728,38.61900485436893
65,86713.32958737864,14471.092305825243,38.31565533980582
66,79050.48220873787,13846.75177184466,40.45121359223301
67,73456.92861650485,13027.949368932039,41.8073786407767
68,69190.67587378641,12601.183300970873,40.49730582524272
69,62179.69196601942,12676.179101941747,41.4831067961165
70,53147.63987864077,11697.527669902913,39.009466019417474
71,67465.588592233,12729.694708737865,37.85361650485437
72,63375.12774271845,12932.543349514563,36.8998786407767
73,67197.68883495146,13202.793300970874,36.958543689320386
74,60249.411990291264,13056.51927184466,38.01218446601942
75,61607.06031553398,14042.623155339807,37.33854368932039
76,67970.72347087378,14735.372597087378,34.26383495145631
77,73205.46410194175,14515.915145631068,34.746747572815536
78,59116.26922330097,13371.638665048544,33.986796116504856
79,59165.876650485436,12781.78213592233,36.21978155339806
80,60591.69184466019,13407.344878640777,36.24927184466019
81,54443.68876213592,13764.156747572815,36.10410194174757
82,51717.75817961165,13233.332111650485,35.15266990291262
83,58639.61483009709,13342.775970873787,36.41228155339806
84,58977.0425,13224.728737864078,35.727888349514565
85,73031.73966019417,13857.193373786407,34.890509708737866
86,59668.94922330097,13445.093082524272,35.93611650485437
87,61472.62191747573,13908.919830097087,33.791553398058255
88,58641.716626213594,11893.453131067961,37.425825242718446
89,48709.05220873786,11404.622160194174,39.1928640776699
90,61294.603155339806,12051.81968446602,38.49541262135922
91,39351.998567961164,10248.725,39.36080097087379
92,42095.14245145631,11145.910072815534,39.86121359223301
93,46392.30145631068,13344.015436893204,33.599733009708736
94,46563.48473300971,12694.9461407767,35.83883495145631
95,37884.59783980583,11208.904029126214,35.95902912621359
96,46980.31781553398,11751.649490291262,38.40881067961165
97,75174.45961165048,15078.603810679611,27.372281553398057
98,65148.08890776699,13804.3525,31.75245145631068
99,69181.77951456311,14651.71317961165,39.259466019417474
